split	is_baseline	model	specific_avg	general_avg	specific_dim1	specific_dim2	specific_dim3	specific_dim4	specific_dim5	specific_dim6	specific_dim7	specific_dim8	specific_dim9	specific_dim10	general_dim1	general_dim2	general_dim3	general_dim4	general_dim5	general_dim6	general_dim7	general_dim8	general_dim9	general_dim10	specific_avg1-5	specific_avg6-10	general_avg1-5	general_avg6-10
test	False	exp0_t5-large	55.17	49.82	49.09	46.39	48.56	65.03	49.94	54.12	59.31	59.11	65.76	58.79	46.62	44.39	48.66	55.1	33.86	45.63	51.48	56.15	64.79	59.87	53.08	57.61	49.06	50.74
test	False	exp1_t5-large	1.96	0.0	3.28	1.56	2.19	2.08	1.84	1.47	0.68	1.31	3.1	2.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.44	1.29	0.0	0.0
test	False	exp2a_t5-large	33.76	39.26	36.73	27.29	24.41	43.7	14.85	28.11	37.68	28.68	38.03	19.59	38.71	35.19	37.13	46.42	24.31	32.61	42.35	40.29	52.33	43.37	35.09	32.07	39.53	38.93
test	False	exp2b_t5-large	38.34	41.68	36.52	30.45	29.67	45.49	7.72	37.33	44.65	37.09	48.82	19.68	39.73	37.53	40.2	48.62	22.56	37.9	43.65	42.52	57.51	19.92	36.49	40.53	41.43	41.97
test	False	exp3a_t5-large	53.91	49.15	50.22	47.24	51.83	60.96	48.22	46.88	60.74	58.96	63.21	46.85	46.29	46.28	45.81	56.4	38.98	42.45	50.79	56.89	60.81	65.99	53.05	54.58	49.18	49.1
test	True	exp0_t5-large	70.73	66.16	65.89	60.38	63.77	76.51	68.99	66.66	72.63	74.04	82.41	75.99	61.29	59.9	60.43	68.75	61.3	60.53	65.04	68.11	75.84	80.38	67.11	74.35	62.33	69.98
test	True	exp0_t5-large_specific_only	67.65	0.0	65.29	55.19	60.41	72.73	48.81	67.26	72.03	70.51	76.17	88.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.49	74.82	0.0	0.0
test	True	exp0_t5-large_specific_only_ee	65.01	0.0	66.13	60.08	59.4	74.7	48.88	66.72	72.77	65.48	73.69	62.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.84	68.18	0.0	0.0
test	True	exp2a_t5-large	35.91	50.4	47.23	35.54	30.12	49.39	22.1	30.35	41.4	32.65	45.01	25.3	52.07	47.23	50.48	58.31	42.37	43.09	52.48	49.28	58.56	50.1	36.88	34.94	50.09	50.7
test	True	exp2a_t5-largs	37.57	0.0	46.19	32.21	31.45	47.84	23.0	31.64	42.44	33.54	49.88	37.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.14	39.0	0.0	0.0
test	True	exp2b_t5-large	41.61	49.6	45.64	40.47	38.79	52.61	16.39	45.96	48.46	45.25	57.73	24.82	49.95	49.53	53.99	60.87	37.44	49.21	53.33	53.37	64.02	24.26	38.78	44.44	50.36	48.84
test	True	exp2b_t5-largs	42.54	0.0	47.28	38.14	38.4	51.87	30.8	44.36	47.0	39.96	56.02	31.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.3	43.79	0.0	0.0
test	True	exp3a_t5-large	68.3	65.53	65.74	59.43	66.74	76.54	62.69	58.23	72.56	70.62	81.13	69.35	61.56	60.31	61.18	70.23	55.59	57.45	66.1	67.56	70.49	84.84	66.23	70.38	61.77	69.29
test	True	exp3a_t5-largs	65.64	0.0	64.08	59.66	61.46	72.63	52.28	56.03	70.71	68.3	75.96	75.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.02	69.26	0.0	0.0
val	False	exp0_t5-large	43.74	43.34	42.92	38.32	36.09	53.98	28.6	42.81	54.03	45.27	54.58	36.95	41.26	43.66	40.22	50.12	34.93	41.51	50.32	43.65	50.35	37.24	41.37	46.74	42.41	44.57
val	False	exp1_t5-large	1.51	0.0	1.54	1.54	1.63	1.58	1.28	1.4	1.33	1.97	1.62	1.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.53	1.48	0.0	0.0
val	False	exp2a_t5-large	30.45	37.4	33.04	25.93	22.95	38.78	15.51	28.02	38.58	26.76	40.39	22.86	36.9	37.41	34.63	44.0	28.8	34.63	43.68	35.47	45.31	31.06	29.6	31.58	36.96	38.02
val	False	exp2b_t5-large	31.7	38.04	33.79	26.65	23.23	39.9	15.78	31.62	39.97	28.35	41.77	23.48	36.91	37.32	35.13	44.35	29.41	36.24	43.55	36.44	45.08	30.72	30.17	33.77	37.42	38.93
val	False	exp3a_t5-large	43.82	43.31	43.86	38.81	37.91	54.07	29.01	40.77	54.12	45.02	53.34	37.2	41.52	43.99	40.26	50.7	34.62	40.42	50.19	44.33	51.3	37.8	42.19	45.72	42.62	44.15
